#
 0,                  original,  0.08,  0.04,     ----   * -------|                   ,  0.03,  0.06,  0.08,  0.10,  0.16
#
 1,             autoencoder/2,  0.11,  0.05,       ----    *  ---|---------          ,  0.05,  0.08,  0.11,  0.13,  0.23
 1,                     PCA/3,  0.11,  0.08,          ---  *     |  -----------      ,  0.07,  0.10,  0.11,  0.18,  0.26
 1,                     PCA/5,  0.12,  0.05,          -----  *   |-----------        ,  0.07,  0.11,  0.12,  0.15,  0.24
 1,             autoencoder/5,  0.12,  0.03,       -------   * --|--                 ,  0.05,  0.10,  0.12,  0.14,  0.17
 1,             autoencoder/4,  0.12,  0.05,          -----  *   |--------------     ,  0.07,  0.11,  0.12,  0.16,  0.27
#
 2,                     PCA/4,  0.14,  0.06,       ---------    *|  ----------       ,  0.05,  0.12,  0.14,  0.18,  0.25
 2,                     PCA/2,  0.15,  0.05,            -----    *  ------------     ,  0.09,  0.12,  0.15,  0.18,  0.27
 2,             autoencoder/3,  0.15,  0.07,              ---    *    -----------    ,  0.10,  0.12,  0.15,  0.19,  0.28
