#
 0,             autoencoder/4,  0.26,  0.04,    --------  * -----|--                 ,  0.17,  0.24,  0.26,  0.28,  0.35
 0,                     PCA/5,  0.26,  0.04,      ------- *   ---|                   ,  0.19,  0.25,  0.26,  0.30,  0.33
 0,                  original,  0.26,  0.06,      ----    * -----|                   ,  0.18,  0.22,  0.26,  0.28,  0.32
 0,                     PCA/3,  0.27,  0.05,          ---  *   --|---                ,  0.22,  0.25,  0.27,  0.30,  0.36
 0,             autoencoder/2,  0.28,  0.03,          ---   *----|                   ,  0.22,  0.25,  0.28,  0.28,  0.32
 0,                     PCA/4,  0.28,  0.08,        ---     *   -|----               ,  0.21,  0.23,  0.28,  0.31,  0.37
 0,             autoencoder/3,  0.28,  0.04,      --------  * ---|----               ,  0.19,  0.26,  0.28,  0.30,  0.37
 0,             autoencoder/5,  0.28,  0.04,             --- *   |----               ,  0.25,  0.28,  0.28,  0.32,  0.37
 0,                     PCA/2,  0.29,  0.06,             --  *   |-----              ,  0.25,  0.27,  0.29,  0.33,  0.38
