#
 0,                  original,  0.11,  0.05,        ---- *     --|-----              ,  0.08,  0.10,  0.11,  0.15,  0.20
#
 1,             autoencoder/2,  0.12,  0.07,       ------- *     |  ----             ,  0.07,  0.11,  0.12,  0.18,  0.21
 1,                     PCA/5,  0.12,  0.06,     ------     *    |---                ,  0.05,  0.09,  0.12,  0.16,  0.19
 1,             autoencoder/4,  0.13,  0.09,       ---      *    |  ------           ,  0.07,  0.09,  0.13,  0.18,  0.22
 1,                     PCA/3,  0.13,  0.06,         ------- *   |   -------------   ,  0.08,  0.12,  0.13,  0.19,  0.27
 1,             autoencoder/5,  0.14,  0.03,          ------- *  |-------------      ,  0.09,  0.13,  0.14,  0.16,  0.25
 1,                     PCA/2,  0.14,  0.05,         ------   *  | -------------     ,  0.08,  0.12,  0.14,  0.17,  0.26
 1,             autoencoder/3,  0.14,  0.03,          ------  *  |--------           ,  0.09,  0.12,  0.14,  0.16,  0.22
 1,                     PCA/4,  0.15,  0.05,              -     *| -------           ,  0.11,  0.12,  0.15,  0.17,  0.22
