#
 0,             autoencoder/5,  0.17,  0.06,            -    *   |-------            ,  0.12,  0.14,  0.17,  0.20,  0.26
 0,                  original,  0.17,  0.09,       ----      *   | ------            ,  0.09,  0.12,  0.17,  0.21,  0.26
 0,                     PCA/3,  0.17,  0.08,         ------   *  |  -----            ,  0.10,  0.15,  0.17,  0.23,  0.27
 0,             autoencoder/3,  0.18,  0.06,          ---      * |----               ,  0.11,  0.14,  0.18,  0.20,  0.24
 0,                     PCA/4,  0.18,  0.05,           ----    * |------------       ,  0.12,  0.15,  0.18,  0.20,  0.30
 0,                     PCA/5,  0.18,  0.03,       ----------- * |------             ,  0.09,  0.18,  0.18,  0.21,  0.25
 0,             autoencoder/4,  0.19,  0.12,      ------       * |    ----           ,  0.08,  0.12,  0.19,  0.24,  0.27
 0,                     PCA/2,  0.20,  0.06,            ----     *  ---              ,  0.12,  0.16,  0.20,  0.22,  0.25
#
 1,             autoencoder/2,  0.22,  0.06,                  -  |  * ---------      ,  0.17,  0.19,  0.22,  0.24,  0.31
