#
 0,             autoencoder/2,  0.32,  0.15,      *      --------|                   ,  0.25,  0.25,  0.32,  0.40,  0.50
 0,             autoencoder/5,  0.36,  0.16,         *   --------|                   ,  0.25,  0.25,  0.36,  0.41,  0.50
#
 1,                  original,  0.41,  0.12,             *  -----|------------------ ,  0.32,  0.32,  0.41,  0.45,  0.75
 1,                     PCA/2,  0.41,  0.18, -----       *       |                   ,  0.25,  0.32,  0.41,  0.50,  0.50
 1,                     PCA/5,  0.41,  0.18, -----       *       |                   ,  0.25,  0.32,  0.41,  0.50,  0.50
 1,             autoencoder/3,  0.41,  0.13,         -   *       |                   ,  0.36,  0.37,  0.41,  0.50,  0.50
 1,             autoencoder/4,  0.41,  0.13, ---------   *       |                   ,  0.25,  0.37,  0.41,  0.50,  0.50
#
 2,                     PCA/3,  0.50,  0.09, ------------        *                   ,  0.25,  0.41,  0.50,  0.50,  0.50
 2,                     PCA/4,  0.50,  0.09, ------------        *                   ,  0.25,  0.41,  0.50,  0.50,  0.50
