#
 0,                     PCA/3,  0.14,  0.03,         ------  * --|------             ,  0.07,  0.12,  0.14,  0.15,  0.24
 0,             autoencoder/4,  0.14,  0.04,        -------- *   |-------            ,  0.07,  0.13,  0.14,  0.18,  0.25
 0,             autoencoder/3,  0.14,  0.05,     ----------  *   |---                ,  0.04,  0.12,  0.14,  0.17,  0.21
 0,                     PCA/2,  0.14,  0.03,               - * --|--                 ,  0.12,  0.13,  0.14,  0.16,  0.19
 0,                     PCA/5,  0.14,  0.02,           ----- * --|-----              ,  0.09,  0.13,  0.14,  0.15,  0.22
 0,             autoencoder/5,  0.15,  0.03,              --  * -|-----------        ,  0.11,  0.13,  0.15,  0.17,  0.27
 0,                     PCA/4,  0.15,  0.02,         -------- * -|-----              ,  0.07,  0.14,  0.15,  0.16,  0.22
 0,             autoencoder/2,  0.15,  0.04,              ---  * |------             ,  0.12,  0.14,  0.15,  0.19,  0.23
 0,                  original,  0.16,  0.07,          ------   * |   -----           ,  0.08,  0.13,  0.16,  0.20,  0.25
