 0,             autoencoder/5,  0.37,  0.09, -----    *  --------|                   ,  0.25,  0.32,  0.37,  0.41,  0.50
 0,                  original,  0.41,  0.12,             *  -----|------------------ ,  0.32,  0.32,  0.41,  0.45,  0.75
 0,                     PCA/2,  0.41,  0.18, -----       *       |                   ,  0.25,  0.32,  0.41,  0.50,  0.50
 0,                     PCA/5,  0.41,  0.18, -----       *       |                   ,  0.25,  0.32,  0.41,  0.50,  0.50
 0,             autoencoder/2,  0.41,  0.25,             *       |                   ,  0.25,  0.25,  0.41,  0.50,  0.50
 0,             autoencoder/3,  0.41,  0.18,             *       |                   ,  0.32,  0.32,  0.41,  0.50,  0.50
 0,             autoencoder/4,  0.41,  0.14, --------    *       |                   ,  0.25,  0.36,  0.41,  0.50,  0.50
#
 1,                     PCA/3,  0.50,  0.09, ------------        *                   ,  0.25,  0.41,  0.50,  0.50,  0.50
 1,                     PCA/4,  0.50,  0.09, ------------        *                   ,  0.25,  0.41,  0.50,  0.50,  0.50
